,Investigator,Number of Studies
970,augusto vaglio,4
971,roberto salvioni,4
972,daniela e cilloni,4
973,renata marinello,4
974,kwabena ayesu,4
975,enrico bertini,4
976,giorgio cozzi,4
977,jorge ramos,4
978,simone savastano,4
979,randall e reese,4
980,thomas gastinne,4
981,maurizio degiuli,4
982,giuseppe avvisati,4
983,arifulla khan,4
984,dan turner,4
985,erica villa,4
986,katsuhiro arai,4
987,pankaj gupta,4
988,adedayo a. onitilo,4
989,shigekazu kitamura,4
990,francesca rossi,4
991,michele correale,4
992,matteo cameli,4
993,christian mueller,4
994,domenica battaglia,4
995,roel willemze,4
996,christopher denton,4
997,antonio cascio,4
998,thomas cluzeau,4
999,jacek jassem,4
1000,andreas shoeck,4
1001,asheesh shipstone,4
1002,fred zheng,4
1003,domenico russo,4
1004,giulio zucchelli,4
1005,stefano romagnoli,4
1006,chiara ghiggi,4
1007,michele gottardi,4
1008,jose luis alonso romero,4
1009,antonio silvani,4
1010,alice hervieu,4
1011,caterina strisciuglio,4
1012,manish sharma,4
1013,rajesh bajaj,4
1014,dierk scheinert,4
1015,patrizio mazza,4
1016,gabriele donati,4
1017,shuhua yi,4
1018,adnan kastrati,4
1019,claudio dazzi,4
1020,maddalena giannella,4
1021,john e. doster,4
1022,francesco locatelli,4
1023,thierry petit,4
1024,neville berkman,4
1025,luca galli,4
1026,giuliana alimena,4
1027,chao h. huang,4
1028,laura fariselli,4
1029,cheryl m. czerlanis,4
1030,joni a. tilford,4
1031,alan weintraub,4
1032,stefano rusconi,4
1033,ki y. chung,4
1034,takahiro kudo,4
1035,nicola specchio,4
1036,maura massimino,4
1037,paul j. hesketh,4
1038,andrea camerini,4
1039,benjamin besse,4
1040,francesco fabbiano,4
1041,lawrence e. feldman,4
1042,angelo andriulli,3
1043,farshid dayyani,3
1044,mauro rinaldi,3
1045,genny raffaeli,3
1046,antonio juan ribelles,3
1047,chuan jin,3
1048,sinisa stanic,3
1049,alessandro arena,3
1050,javier lopez jimenez,3
1051,elvira steidl,3
1052,john j. inzerillo,3
1053,thomas ortel,3
1054,sang hyoung park,3
1055,jean-luc vachiery,3
1056,alessandro olivi,3
1057,cook,3
1058,stephen mullin,3
1059,witold marczynski,3
1060,alessandro allegra,3
1061,corrado tamburino,3
1062,petr sedlacek,3
1063,fausto castagnetti,3
1064,calin arimie,3
1065,andrea lucchi,3
1066,anita ravipati,3
1067,marco franceschini,3
1068,wei yang,3
1069,pietro invernizzi,3
1070,licia rivoltini,3
1071,richard d. hall,3
1072,jacques medioni,3
1073,pilar escribano subias,3
1074,luca toschi,3
1075,aijun liao,3
1076,daniele neri,3
1077,victor t. lin,3
1078,kevin becker,3
1079,weisel,3
1080,mathurin fumery,3
1081,dhouha dridi,3
1082,clifton huang,3
1083,david laharie,3
1084,rafal drozda,3
1085,alessandro lucchesi,3
1086,sunny wang,3
1087,alba rubio san simon,3
1088,waqqas afif,3
1089,sebastian grosicki,3
1090,ilaria amodeo,3
1091,frank seibold,3
1092,mario barbagallo,3
1093,mario giuliano,3
1094,jorge emilio salinas,3
1095,tadeusz robak,3
1096,susanne m. arnold,3
1097,salvatore pucciarelli,3
1098,elena galve,3
1099,chiara listorti,3
1100,pierluigi paggiaro,3
1101,gabrielle donlevy,3
1102,david cunningham,3
1103,laura bragonzoni,3
1104,alexander spira,3
1105,ananth shankar,3
1106,sergio stefoni,3
1107,maura brugiatelli,3
1108,marcello piacenti,3
1109,marc van den eynde,3
1110,marica eoli,3
1111,pascual marco vera,3
1112,elena verrecchia,3
1113,pio manlio mirko frascione,3
1114,giovanni di perri,3
1115,josefina cruz,3
1116,gaëlle quereux,3
1117,benjamin misselwitz,3
1118,jie jin,3
1119,william p. fusselman,3
1120,andrea bosio,3
1121,roberta sanfilippo,3
1122,javier martín-broto,3
1123,stefano scabini,3
1124,manuel domine gomez,3
1125,veronika buxhofer-ausch,3
1126,biagio moretti,3
1127,chi k. tsang,3
1128,gianluca paternoster,3
1129,maurizio volterrani,3
1130,danilo toni,3
1131,clara deambrogi,3
1132,lucjan wyrwicz,3
1133,miranda gogishvili,3
1134,karim rihawi,3
1135,antonio contu,3
1136,tobias cronberg,3
1137,karim kentouche,3
1138,nadia corcione,3
1139,natale brunetti,3
1140,massimo provenzi,3
1141,federica morano,3
1142,felix rosenow,3
1143,luis a pagan-cardona,3
1144,ahmet bilici,3
1145,jason aldred,3
1146,peter minarik,3
1147,gaetano facchini,3
1148,patricia h. hardenbergh,3
1149,matteo ravaioli,3
1150,yasuhiko matsumori,3
1151,bartomeu massuti,3
1152,alessandro isidori,3
1153,enrico balleari,3
1154,petar svorcan,3
1155,luca valenti,3
1156,angela la neve,3
1157,kathleen butler,3
1158,emanuele cencini,3
1159,monika kukulska,3
1160,francesco agustoni,3
1161,marco confalonieri,3
1162,tommaso tonetti,3
1163,jennifer a. dorth,3
1164,maria christina cox,3
